DEM数据文件,经度,纬度,起始角度,终止角度,视点高度,SPDERL算法整体错误率
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.32764598359543,28.72781143567473,26.989475066182386,230.4502839453921,1,0.0019343089799114936
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.28973518900034,28.391155123604005,282.3719538764017,315.84352603722783,1,0.0008936550491510277
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.51388972173888,28.78129842683974,217.14249065692462,353.1480966142652,1,0.0018099547511312218
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.37825398992672,28.71762758055042,211.0625648854951,331.76500218805575,1,2.3295361893447016e-05
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.4467307812717,28.215166124078255,76.92381110452988,92.25812205584211,1,0.0
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.3346641318154,34.24561872161543,65.91728799278823,105.78781892068695,1,0.0
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.5671883228699,34.30517002129045,87.46037337872689,217.37891090369413,1,0.0025576464351974556
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.34250887115627,34.42236842112165,265.29230920912994,284.6621970037103,1,2.4389054192478416e-05
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.68951135876401,34.331323933617085,79.33022733517464,272.98465347933904,1,0.005128103982169977
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.28125694422941,34.370421437809796,198.40545564908825,237.23155670211403,1,0.0012919896640826874
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.40711622489223,41.76945173989637,108.05809847291873,343.5674001636758,1,1.6188433364361162e-05
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.44869616188012,41.58834797779507,286.41399859356943,348.13606598846434,1,5.341024408481547e-05
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.53633411894508,41.43166529066127,142.50902521034823,223.28929955440594,1,0.0
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.42627369889343,41.627696454851815,316.73972840737747,356.9825474891802,1,6.805962022731914e-05
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.32382627472549,41.63195562938259,102.92416072730911,138.12959284072386,1,0.00010834236186348862
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.54779369963796,28.243860259709162,249.197306947923,324.58450809131,50,4.9135220125786166e-05
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.66406778721257,28.704467626302456,226.13785587472714,284.8392217756223,50,0.0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.26772851646632,28.414534556386016,169.8561167638204,333.43447739484816,50,5.72093289345716e-05
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.4953131923384,28.463661302862867,168.90415566492211,186.19264665249457,50,0.0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.51215002087484,28.388850420973995,105.02605526843563,223.58760961920495,50,0.0
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.36254561172723,34.18558812657747,104.98042306536763,278.6838444105596,50,0.0005567928730512249
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.37738141667668,34.35693246317638,163.36337201720823,252.19510414681758,50,0.0008396305625524769
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.40796078069697,34.3573203005019,92.35887191599646,215.48786657945254,50,0.0024117796395024117
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.71498609867548,34.47912872226057,313.943782815713,327.12390590306666,50,6.521880910454576e-05
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.26457831863829,34.66847501201094,176.36150249353923,285.621728634795,50,0.006993006993006993
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.21304352065417,41.42607122609192,345.93363716859875,355.7170520609754,50,0.0
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.79936466560466,41.5310962800047,304.2122650575906,351.67328676672884,50,0.00015762925598991173
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.28004151568177,41.331835337716186,352.9425917741966,357.6484750653214,50,0.0
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.46439957591076,41.594645121936274,148.49384573936663,332.95904954723187,50,0.00036227508754981284
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5026571784033,41.71813464036772,319.5096014451467,354.8732195692604,50,0.0002449779519843214
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.32149526486262,28.310169856310296,338.32800750748225,350.28927404163227,100,0.0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.53341484834473,28.35230491450783,232.73848104772324,358.9759269701443,100,7.528929913191438e-06
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.64082157513863,28.6516354231837,93.89658333303062,320.9839197523956,100,0.0019558535903883767
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.52095516616335,28.47388645630745,241.94996292102184,266.8232491971308,100,0.0002874389192296637
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.3435823570104,28.783624015365202,244.1436376518145,345.8861789231201,100,0.000146177459435755
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.53074858869772,34.56242564418994,334.01059492940635,335.3732119322275,100,0.0
