DEM数据文件,视点高度,时间消耗比
山区,2401,0.391512118
山区,2411,0.336415806
山区,2421,0.370841453
山区,2431,0.330152111
山区,2441,0.401289946
山区,2451,0.286081866
山区,2461,0.352984676
山区,2471,0.28355605
山区,2481,0.358416579
山区,2491,0.296182962
山区,2501,0.333293997
山区,2511,0.364897078
山区,2521,0.341681143
山区,2531,0.3790507
山区,2541,0.36659305
山区,2551,0.371389717
山区,2561,0.320851478
山区,2571,0.305029954
山区,2581,0.368578153
山区,2591,0.380871501
山区,2601,0.331049791
山区,2611,0.345629505
山区,2621,0.339945907
山区,2631,0.299081101
山区,2641,0.304112596
山区,2651,0.31905763
山区,2661,0.307174401
山区,2671,0.300913141
山区,2681,0.327065135
山区,2691,0.378505721
山区,2701,0.324863604
山区,2711,0.417926277
山区,2721,0.317495374
山区,2731,0.369410781
山区,2741,0.353974115
山区,2751,0.318287059
山区,2761,0.361310741
山区,2771,0.369171087
山区,2781,0.266817853
山区,2791,0.3207107
山区,2801,0.335658185
山区,2811,0.398669308
山区,2821,0.337116803
山区,2831,0.282291598
山区,2841,0.304443928
山区,2851,0.342763474
山区,2861,0.374342177
山区,2871,0.396660282
山区,2881,0.33452839
山区,2891,0.277242026
山区,2901,0.315741953
山区,2911,0.411251008
山区,2921,0.36467463
山区,2931,0.360216962
山区,2941,0.306012585
山区,2951,0.38845655
山区,2961,0.416633158
山区,2971,0.364862091
山区,2981,0.354049532
山区,2991,0.323050751
山区,3001,0.417189994
山区,3011,0.336992865
山区,3021,0.372852221
山区,3031,0.37488052
山区,3041,0.32475258
山区,3051,0.346244243
山区,3061,0.396783828
山区,3071,0.360879434
山区,3081,0.329944111
山区,3091,0.329314757
山区,3101,0.451000006
山区,3111,0.342715478
山区,3121,0.349510265
山区,3131,0.402893023
山区,3141,0.365771802
山区,3151,0.310942398
山区,3161,0.341028822
山区,3171,0.367385493
山区,3181,0.287767536
山区,3191,0.348154889
山区,3201,0.419989809
山区,3211,0.351906586
山区,3221,0.313048295
山区,3231,0.344110186
山区,3241,0.408803582
山区,3251,0.381464346
山区,3261,0.388616014
山区,3271,0.329412243
山区,3281,0.36991311
山区,3291,0.344649241
山区,3301,0.381480202
山区,3311,0.302480135
山区,3321,0.370539518
山区,3331,0.378646277
山区,3341,0.363085875
山区,3351,0.378506196
山区,3361,0.33332306
山区,3371,0.377138779
山区,3381,0.338297647
山区,3391,0.335403356
山区,3401,0.402057173
山区,3411,0.414878226
山区,3421,0.413159434
山区,3431,0.348576011
山区,3441,0.339252024
山区,3451,0.360842053
山区,3461,0.336310045
山区,3471,0.346831717
山区,3481,0.390655751
山区,3491,0.352153361
山区,3501,0.371489666
山区,3511,0.357122761
山区,3521,0.350740788
山区,3531,0.40144559
山区,3541,0.353642081
山区,3551,0.390961799
山区,3561,0.358604447
山区,3571,0.372895694
山区,3581,0.412273464
山区,3591,0.330673135
山区,3601,0.41972039
山区,3611,0.330256121
山区,3621,0.398283538
山区,3631,0.360414374
山区,3641,0.367577742
山区,3651,0.325278891
山区,3661,0.360347475
山区,3671,0.401158027
山区,3681,0.378028127
山区,3691,0.310917329
山区,3701,0.374656146
山区,3711,0.401562649
山区,3721,0.405993781
山区,3731,0.358132053
山区,3741,0.43177521
山区,3751,0.377364761
山区,3761,0.400602148
山区,3771,0.392794361
山区,3781,0.337667624
山区,3791,0.418794682
山区,3801,0.340928507
山区,3811,0.329606903
山区,3821,0.394985465
山区,3831,0.374965111
山区,3841,0.329943219
山区,3851,0.321810761
山区,3861,0.335039933
山区,3871,0.350591858
山区,3881,0.40646023
山区,3891,0.345961616
山区,3901,0.3190237
山区,3911,0.340634375
山区,3921,0.387441308
山区,3931,0.356190543
山区,3941,0.376256104
山区,3951,0.375928381
山区,3961,0.415666208
山区,3971,0.415093611
山区,3981,0.411784724
山区,3991,0.378195144
山区,4001,0.352137894
山区,4011,0.408484134
山区,4021,0.384416489
山区,4031,0.391943245
山区,4041,0.375959001
山区,4051,0.384718651
山区,4061,0.350363848
山区,4071,0.322243286
山区,4081,0.376613677
山区,4091,0.401414623
山区,4101,0.45849866
山区,4111,0.376712122
山区,4121,0.397820174
山区,4131,0.337201433
山区,4141,0.372898109
山区,4151,0.317294972
山区,4161,0.393301516
山区,4171,0.373206182
山区,4181,0.39176861
山区,4191,0.402871249
山区,4201,0.380943917
山区,4211,0.454112337
山区,4221,0.416291707
山区,4231,0.364088984
山区,4241,0.402310252
山区,4251,0.392058714
山区,4261,0.393546166
山区,4271,0.333484856
山区,4281,0.430329225
山区,4291,0.398910198
山区,4301,0.399525672
山区,4311,0.368950967
山区,4321,0.378798159
山区,4331,0.396557416
山区,4341,0.400949124
山区,4351,0.355451976
山区,4361,0.359019644
山区,4371,0.468637128
山区,4381,0.368499871
山区,4391,0.356071665
山区,4401,0.394314901
山区,4411,0.46087178
山区,4421,0.39775928
山区,4431,0.334589897
山区,4441,0.403640124
山区,4451,0.34386056
山区,4461,0.318662591
山区,4471,0.45282494
山区,4481,0.387732423
山区,4491,0.354937402
山区,4501,0.37518298
山区,4511,0.412679844
山区,4521,0.346013941
山区,4531,0.386513173
山区,4541,0.391148968
山区,4551,0.419178126
山区,4561,0.396900847
山区,4571,0.375715386
山区,4581,0.40153359
山区,4591,0.414397707
山区,4601,0.400518392
山区,4611,0.374248602
山区,4621,0.416760471
山区,4631,0.391149572
山区,4641,0.407754611
山区,4651,0.378739908
山区,4661,0.36232315
山区,4671,0.376603936
山区,4681,0.365378968
山区,4691,0.402749801
山区,4701,0.307682094
山区,4711,0.340984584
山区,4721,0.384301246
山区,4731,0.320550743
山区,4741,0.373081841
山区,4751,0.312806298
山区,4761,0.382732771
山区,4771,0.365280877
山区,4781,0.392659943
山区,4791,0.38074073
山区,4801,0.435417798
山区,4811,0.402875203
山区,4821,0.392446253
山区,4831,0.382152932
山区,4841,0.360317001
山区,4851,0.37821196
山区,4861,0.421364932
山区,4871,0.446187032
山区,4881,0.388540539
山区,4891,0.413192127
山区,4901,0.336087368
山区,4911,0.346247369
山区,4921,0.417650367
山区,4931,0.350685881
山区,4941,0.40815158
山区,4951,0.393645516
山区,4961,0.40267456
山区,4971,0.506209684
山区,4981,0.367260352
山区,4991,0.350089097
平原,1,0.162881468
平原,11,0.265956373
平原,21,0.248231763
平原,31,0.321115591
