DEM数据文件,经度,纬度,起始角度,终止角度,视点高度,SPDERL算法整体错误率,参考线改进后算法整体错误率
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.70652777777778,28.100416666666664,70.43442349035446,77.29116115132939,0,0.0,0.0
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.49625,34.44902777777778,267.57888585168786,319.39275678935695,0,0.001270186898929414,0.0010887316276537834
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.18791666666667,41.13986111111112,114.40727233645836,311.27288361773776,0,0.018816944900125445,0.01862395059345749
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.80986111111112,28.03736111111111,183.62105661921558,222.55274212677972,10,0.01701507049100632,0.012153621779290228
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.7076388888889,34.805416666666666,33.16633910822795,71.1156670375886,10,0.018950437317784258,0.018658892128279883
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.51541666666667,41.80375,140.75664015774083,264.5796767708427,10,0.0359547123623011,0.03580171358629131
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.35819444444445,28.135694444444443,67.1599444394481,275.80085148440395,20,0.17574050102794486,0.17025812837889287
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.20402777777778,34.55319444444444,106.35988415889743,225.42668845645363,20,0.014632107023411372,0.014632107023411372
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.66708333333334,41.77125,245.4963969112908,296.06931824060473,20,0.0,0.0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.29680555555557,28.73486111111111,46.62837320354194,158.6506577633731,30,0.004316069057104913,0.004150066401062417
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.59402777777778,34.04708333333333,222.83535130661755,332.65763598604644,30,0.025757575757575757,0.025757575757575757
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.35125000000001,41.51847222222222,160.49446546584338,243.57404557609414,30,0.006687844841999665,0.006687844841999665
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.64375000000001,28.175694444444442,207.74295143467106,285.2035775619828,40,0.047166427546628406,0.047166427546628406
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.62541666666667,34.57486111111111,205.3885908020474,214.36368859682634,40,0.007138221933809215,0.007138221933809215
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.20319444444445,41.77319444444445,239.4841509152262,249.87196750027314,40,0.0,0.0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.01736111111111,28.096805555555555,230.99115319980186,333.2244098983308,50,0.0016048502139800285,0.0016048502139800285
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.16708333333334,34.48847222222223,289.0870208877925,300.30107200044205,50,0.005607476635514018,0.004984423676012461
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.6551388888889,41.80847222222222,50.75928386117061,249.22715747998038,50,0.016115190235529705,0.012682368646896158
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.57208333333334,28.137083333333333,293.5105794924279,319.703260226628,60,0.0010607265977194379,0.0005303632988597189
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.33041666666666,34.58958333333334,315.8144450429157,316.795798689343,60,0.0,0.0
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.65597222222223,41.25430555555556,277.34059305984164,339.56423341404223,60,0.012148642210576465,0.010481181515007145
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.34708333333334,28.800694444444442,28.360212075370885,230.969086399742,70,0.007579135086937138,0.0030316540347748553
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.18875,34.70847222222223,147.6203938295653,295.09319250808426,70,0.003676470588235294,0.0034536541889483067
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.65097222222222,41.43430555555556,128.71171376974013,314.20112481399474,70,0.0214,0.0212
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.1776388888889,28.24347222222222,204.3667266655016,222.5595459773086,80,0.001973684210526316,0.001973684210526316
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.76875000000001,34.026805555555555,230.9819723879761,353.6332091449016,80,0.7753324889170361,0.7753324889170361
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.65486111111112,41.39013888888889,16.18648081813131,297.28663698356314,80,0.28710844195727836,0.03207534293318774
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.43986111111111,28.547638888888887,295.10224434433405,298.42892670289524,90,0.014742014742014743,0.014742014742014743
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.56569444444445,34.28013888888889,4.1783622098077,95.41931008140352,90,0.01828890266584005,0.018133911965282083
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.19208333333334,41.790416666666665,295.57733759286566,344.54282968200056,90,0.002635046113306983,0.0023715415019762848
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.53569444444445,28.477916666666665,320.78232017895124,346.9387034717664,100,0.0016611295681063123,0.0016611295681063123
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.60458333333334,34.64347222222222,106.61219800691785,209.9802462887707,100,0.005257105306390669,0.00509282076556596
