DEM数据文件,经度,纬度,起始角度,终止角度,视点高度,SPDERL算法整体错误率
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4408656,34.61153782,120.1918377,223.9337038,100,0.006142728
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.3892899,34.47230549,20.42823527,216.3713793,100,0.001730104
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.5752762,34.54927067,137.5101656,223.7492086,100,0.00216404
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.274271,41.65572144,197.870157,199.9045878,100,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.3613227,41.74697169,150.5020305,279.7525847,100,0.005738706
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.4086915,41.66619512,338.5207244,359.2613163,100,0.003023595
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.4524381,41.66226352,286.2694307,358.4995588,100,0.007096742
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.6203107,41.77408899,85.80010486,164.3590045,100,0.009339446
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.66021207,28.28955773,205.7869871,268.9497792,150,0.00591716
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.45528037,28.16073008,260.4665301,284.6606439,150,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.52134036,28.22945447,309.0891227,332.1410004,150,0.001534331
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.39880599,28.28697838,331.0010483,339.0031776,150,0.002369668
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.40232728,28.19313517,125.4740439,214.1692921,150,1.64E-05
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.5558887,34.51437881,338.2141333,342.6864214,150,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.5322228,34.60304429,345.7166723,346.5236542,150,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.2762483,34.63700668,100.0233411,312.9764399,150,0.009217698
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.1992147,34.58726874,169.4805118,218.6964332,150,0.00077589
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4118151,34.56438515,79.8609757,275.5494466,150,0.15856788
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.2973211,41.59588879,33.16263194,123.384077,150,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.6129319,41.55750778,55.34433207,134.1028285,150,0.000340136
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.4459765,41.60799969,256.0268896,350.081133,150,0.005509746
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5787723,41.61459025,283.2558349,322.8713116,150,0.004043905
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.541505,41.6162933,24.38337822,264.1782232,150,0.021146657
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.7861779,28.32729325,200.8072248,353.6952686,200,0.023491783
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.38124789,28.22157867,308.3287883,341.6239636,200,0.002118083
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.36158599,28.34929478,157.3353669,283.8892643,200,0.018154312
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.311682,28.26011299,131.8745523,203.7234049,200,0.000120767
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.28183312,28.34948908,311.0381837,322.9814655,200,0.001071811
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.3553533,34.43230065,201.1239658,312.6010954,200,0.007445632
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.330564,34.45731683,298.7994489,327.7296423,200,0.009076559
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4966053,34.42835454,274.6452353,284.0938717,200,0.068741894
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.3570651,34.49124588,29.54902321,49.31602868,200,0.009750813
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.8453858,34.42901657,88.31963222,271.8235027,200,0.170592603
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5457642,41.49003277,171.2174656,276.4125217,200,0.003831418
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.4922681,41.47766558,250.6571017,336.2722073,200,0.022288262
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.3357983,41.48321893,70.36894631,146.9812494,200,0.003256413
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.3831114,41.43240785,174.3024375,187.952589,200,0.011235955
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.2477675,41.53538854,258.1772272,276.5136302,200,0.000103072
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.62742786,28.33783233,53.74220893,358.7621973,250,0.054446068
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.59851068,28.34686185,320.4605662,354.084316,250,0.000205787
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.36837765,28.35547693,290.2409083,359.2892043,250,0.011061947
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.3793422,28.45086886,29.31535227,111.5748516,250,0.000760842
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.67183806,28.3383741,166.215624,311.4057153,250,0.008377962
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4581933,34.37287565,120.5902507,190.6189657,250,0.002513465
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.6720617,34.34854153,244.7697418,348.1760352,250,0.015775264
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4047542,34.29493495,158.9416078,357.4476185,250,0.030495197
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.6157327,34.31069714,339.5622783,356.9923665,250,0.000115987
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.7383239,34.24618112,144.4447389,182.0393506,250,0.002901138
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.2467092,41.3947437,140.7128383,205.3977069,250,0.000151252
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5320612,41.34137469,276.0719947,339.5738583,250,0.012903226
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.3225831,41.38577509,286.5636351,296.757349,250,0.00902498
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5243786,41.38808389,245.0954685,282.2360105,250,2.22E-05
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.505426,41.42516425,189.2181528,306.2537689,250,0.014486486
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.45209958,28.50070639,199.379166,268.4981387,300,0.001968504
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.61041553,28.49967022,319.2100098,330.7542789,300,0.000822368
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.42546621,28.47032218,299.9080616,300.4664106,300,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.85923484,28.44007032,341.023888,350.7922574,300,0.000883392
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.57136507,28.47640183,101.3671404,310.4176424,300,0.009509461
