DEM数据文件,经度,纬度,起始角度,终止角度,视点高度,SPDERL算法整体错误率,参考线改进后算法整体错误率,总个数,pderl误差数量,optrl误差数量,可视率
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.43125,28.240694444444443,54.0026530095927,247.67936638791934,0,0.17055984555984555,0.16341698841698843,10360,1767,1693,0.0011583011583011582
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.13986111111112,34.386805555555554,242.94363725836493,245.69912468413142,0,0.0,0.0,2344,0,0,0.0
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.37986111111111,41.58708333333333,112.50330388372288,300.22886785644556,0,0.002005922246632916,0.0018148820326678765,10469,21,19,0.0636163912503582
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.59847222222223,28.71236111111111,292.7881388082505,320.7050816464552,10,0.0037125430920180325,0.0031821797931583136,3771,14,12,0.06178732431715725
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.49625,34.517361111111114,273.58099259938706,342.2521698825823,10,0.0788514129443938,0.07588878760255241,4388,346,333,0.28144940747493163
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.71236111111112,41.361250000000005,121.31227754438765,167.84867498125266,10,0.0,0.0,3432,0,0,0.010198135198135198
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.36097222222223,28.740972222222222,38.09246072436261,172.94897412842496,20,0.013614522156967433,0.012813667912439935,7492,102,96,0.046849973304858517
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.87486111111112,34.85513888888889,11.048903622094027,329.45350184583333,20,0.19490405787983642,0.19094054734193142,15895,3098,3035,0.3774142812205096
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.97402777777778,41.31263888888889,159.30631276715206,212.66323246866932,20,0.0002196836555360281,0.0002196836555360281,4552,1,1,0.3664323374340949
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.0326388888889,28.024305555555554,139.83642550216246,354.95118771193387,30,0.025285634013860272,0.02509833302116501,10678,270,268,0.19488668289941938
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.67125,34.500416666666666,11.55646997126571,357.50789210544053,30,0.08402761247322066,0.08051654368007617,16804,1412,1353,0.5690311830516543
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.34680555555556,41.29986111111111,145.50617019059266,237.81549933466164,30,0.0014184397163120568,0.0014184397163120568,5640,8,8,0.7182624113475178
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.97652777777779,28.87486111111111,213.0786300894107,245.10114322496867,40,0.5008907363420427,0.5008907363420427,3368,1687,1687,0.5008907363420427
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.75486111111111,34.85902777777778,83.69252884213061,302.921003963589,40,0.02471497436682225,0.023949804881781316,13069,323,313,0.6436605708164358
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.74236111111112,41.51069444444445,201.6936504893128,343.2814735057619,40,0.42322754895340986,0.42322754895340986,7405,3134,3134,0.42336259284267386
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.60319444444445,28.069305555555555,177.94298207018053,275.26021747441416,50,0.026515151515151516,0.004233511586452763,8976,238,38,0.028966131907308377
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.01847222222223,34.464305555555555,299.97504798046384,352.3554105801813,50,0.010392609699769052,0.01010392609699769,3464,36,35,0.6452078521939953
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.82097222222222,41.13875,331.2070264603615,340.67165436762025,50,0.0004152823920265781,0.0004152823920265781,2408,1,1,0.06312292358803986
