DEM ˝æ›Œƒº˛,æ≠∂»,Œ≥∂»,∆ ºΩ«∂»,÷’÷πΩ«∂», ”µ„∏ﬂ∂»,1¡⁄”Ú£®XPDERL£©,2¡⁄”Ú£®XPDERL£©,3¡⁄”Ú£®XPDERL£©,4¡⁄”Ú£®XPDERL£©,5¡⁄”Ú£®XPDERL£©,6¡⁄”Ú£®XPDERL£©,7¡⁄”Ú£®XPDERL£©,X8¡⁄”Ú£®XPDERL£©,9¡⁄”Ú£®XPDERL£©,10¡⁄”Ú£®XPDERL£©,1¡⁄”Ú£®Our£©,2¡⁄”Ú£®Our£©,3¡⁄”Ú£®Our£©,4¡⁄”Ú£®Our£©,5¡⁄”Ú£®Our£©,6¡⁄”Ú£®Our£©,7¡⁄”Ú£®Our£©,X8¡⁄”Ú£®Our£©,9¡⁄”Ú£®Our£©,10¡⁄”Ú£®Our£©,1¡⁄”Ú£®XDraw£©,2¡⁄”Ú£®XDraw£©,3¡⁄”Ú£®XDraw£©,4¡⁄”Ú£®XDraw£©,5¡⁄”Ú£®XDraw£©,6¡⁄”Ú£®XDraw£©,7¡⁄”Ú£®XDraw£©,8¡⁄”Ú£®XDraw£©,9¡⁄”Ú£®XDraw£©,10¡⁄”Ú£®XDraw£©
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.15707665,28.15735443,356.9090681,358.0968072,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011658951,0.010353009,0.008520448,0.007463349,0.006253858,0.005086806,0.004176312,0.003275463,0.002654321,0.002002315
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.23942967,28.23970745,53.33147035,359.3326512,3,0.001929012,0.001049383,0.000474537,0.000268133,0.000138889,7.52E-05,3.67E-05,3.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.56461338,28.56489116,78.76323899,224.9072474,3,3.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108025,7.14E-05,3.09E-05,1.93E-06,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.29638379,28.29666157,124.4432645,220.7727159,3,0.003296682,0.002615741,0.001927083,0.001556713,0.001157407,0.000848765,0.000634645,0.000443673,0.000316358,0.000208333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.72678265,28.72706043,31.42139424,148.7151581,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.7816589,28.78193668,219.5219368,235.6002524,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010135031,0.008485725,0.006383102,0.00523534,0.003966049,0.002779707,0.001950231,0.00126929,0.000790895,0.00041088
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.22995786,28.23023564,241.717396,308.7034103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000594136,0.000447531,0.000300926,0.000200617,0.000127315,6.37E-05,1.74E-05,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.75392043,28.75419821,275.7725395,288.0201055,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.61360553,28.6138833,274.5645607,318.9974767,3,7.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004182099,0.003493441,0.002768133,0.002301312,0.001834491,0.001342593,0.000974151,0.000632716,0.000420525,0.000243056
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.32072392,28.3210017,96.8368529,146.4421915,3,0.001508488,0.001070602,0.000580633,0.000304784,0.000129244,5.59E-05,1.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.40364072,28.4039185,196.3183892,284.7511637,3,0.00210841,0.001707176,0.001273148,0.000978009,0.000692515,0.000472608,0.000281636,0.000144676,3.67E-05,0,3.86E-06,0,0,0,0,0,0,0,0,0,0.008074846,0.006242284,0.004373071,0.003287037,0.002247299,0.001537423,0.001032022,0.000609568,0.000380015,0.000241127
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.23123457,28.23151235,41.19070465,157.2749115,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.49157633,28.49185411,133.2814409,356.6307526,3,0.002345679,0.001616512,0.001190201,0.000964506,0.000817901,0.000592207,0.000434028,0.0003125,0.000227623,0.000152392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.15170639,28.15198417,85.2111704,175.922538,3,1.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002374614,0.001838349,0.001248071,0.000935571,0.000650077,0.000439815,0.000268133,0.000113812,4.24E-05,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.26438639,28.26466416,32.70944106,353.3061642,3,0.003082562,0.001716821,0.000916281,0.000536265,0.000295139,9.45E-05,5.79E-06,0,0,0,0.000607639,0.000324074,0.000142747,9.84E-05,3.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.74167124,28.74194902,188.5371545,291.2233513,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006691744,0.00603588,0.005216049,0.004762731,0.004234182,0.003597608,0.003040123,0.002581019,0.002150849,0.001693673
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.69860997,28.69888775,305.1227282,317.3031069,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054591,0.000279707,6.75E-05,1.54E-05,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.76050942,28.7607872,117.9519817,198.0518578,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102238,6.37E-05,3.86E-06,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.76464712,28.7649249,229.0917239,353.2355361,3,1.93E-06,0,0,0,0,0,0,0,0,0,1.93E-06,0,0,0,0,0,0,0,0,0,1.16E-05,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.68894357,28.68922135,129.028352,236.2596331,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002727623,0.002102623,0.001462191,0.001078318,0.000763889,0.000561343,0.000424383,0.000302855,0.000169753,8.29E-05
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.18212024,28.18239802,3.502127619,283.7173589,3,0.001651235,0.000777392,0.000383873,0.000190972,6.75E-05,0,0,0,0,0,3.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.48869486,28.48897263,290.6654632,312.917758,3,0.000104167,4.82E-05,5.79E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91E-05,1.54E-05,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.34400515,28.34428293,137.5173694,185.0083814,3,0,0,0,0,0,0,0,0,0,0,0.000135031,6.17E-05,1.16E-05,0,0,0,0,0,0,0,0.016741898,0.01449267,0.01158179,0.010025077,0.008609182,0.007202932,0.006109182,0.005094522,0.004168596,0.003254244
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.16209566,28.16237344,320.5242519,344.4865175,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008744213,0.00728588,0.005437886,0.004463735,0.003389275,0.002432485,0.001807485,0.001265432,0.000885417,0.000601852
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.63786731,28.63814509,262.5415216,279.4117598,3,0.001969522,0.001452546,0.000906636,0.000590278,0.00029321,0.000129244,3.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.24740603,28.2476838,346.6679617,349.2296906,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005958719,0.004907407,0.003919753,0.003410494,0.002908951,0.002505787,0.002212577,0.001890432,0.001685957,0.001456404
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.51045124,28.51072901,175.2400849,223.2028618,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004436728,0.003802083,0.003246528,0.002959105,0.002627315,0.002280093,0.002017747,0.001693673,0.001421682,0.001199846
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.39104369,28.39132147,41.92556765,91.55533286,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93E-05,1.93E-06,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.86597132,28.8662491,45.40566256,335.7791073,3,0.003371914,0.002235725,0.001375386,0.000972222,0.000669367,0.000445602,0.000300926,0.000158179,4.44E-05,0,0.000160108,3.09E-05,0,0,0,0,0,0,0,0,0.000167824,7.91E-05,1.74E-05,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.70757849,28.70785627,336.2481496,340.6351792,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.36473978,28.36501756,337.3096715,350.6154827,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024782022,0.021657022,0.017978395,0.01597608,0.013796296,0.011909722,0.010638503,0.00949267,0.008539738,0.007627315
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.26117033,28.26144811,12.83328791,126.0393197,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.16549574,28.16577352,242.3388848,264.2209944,3,0.006381173,0.005414738,0.003975694,0.003150077,0.002280093,0.001622299,0.001180556,0.000725309,0.000470679,0.000300926,0,0,0,0,0,0,0,0,0,0,0.010152392,0.008547454,0.006369599,0.005354938,0.004189815,0.00324267,0.002600309,0.002073688,0.001691744,0.001319444
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.40854169,28.40881947,23.44894938,95.76201275,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160108,0.000109954,5.98E-05,2.12E-05,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.33637106,28.33664884,228.3732861,246.8975351,3,0.000109954,6.94E-05,3.09E-05,5.79E-06,0,0,0,0,0,0,5.79E-06,0,0,0,0,0,0,0,0,0,7.72E-06,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.1593811,28.15965888,52.44310805,315.8431891,3,0.000270062,0.000109954,1.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000364583,0.000190972,4.05E-05,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.34416318,28.34444096,253.1575734,332.1557895,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015972222,0.013732639,0.010964506,0.009461806,0.008090278,0.006689815,0.005655864,0.004722222,0.003825231,0.003028549
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.8926308,28.89290858,296.6790684,341.6530365,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005823688,0.004957562,0.00398341,0.003308256,0.002615741,0.001927083,0.001402392,0.001087963,0.00086034,0.000640432
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.50764585,28.50792362,311.2900787,326.5172784,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14E-05,7.72E-06,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.51584532,28.5161231,166.0003015,300.6858122,3,0.000113812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003614969,0.003117284,0.002503858,0.002150849,0.001799769,0.00148341,0.001194059,0.000925926,0.00070409,0.000516975
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.41937922,28.419657,317.3316241,322.9899034,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000981867,0.000792824,0.000557485,0.000374228,0.000227623,0.000160108,0.000104167,4.82E-05,0,0
