DEM数据文件,经度,纬度,起始角度,终止角度,视点高度,SPDERL算法整体错误率,参考线改进后算法整体错误率
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.63430555555556,28.790416666666665,29.3058496561911,44.49038975806731,0,0.0,0.0
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.20958333333334,34.38569444444445,190.79827427894196,226.4048335038603,0,0.005185185185185185,0.005185185185185185
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.28430555555556,41.007361111111116,177.15241520691285,248.75953688690464,0,0.00117864960431049,0.0008418925745074928
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.03486111111111,28.32736111111111,196.300574107124,359.10885934728935,10,0.16388616290480865,0.1581207065750736
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.41236111111111,34.761805555555554,188.65601016164035,318.8154525650077,10,0.04833468724614135,0.04833468724614135
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.28930555555556,41.47402777777778,261.7515795577441,324.242639654075,10,0.005380200860832138,0.005200860832137733
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.00152777777778,28.338749999999997,86.28336645358742,359.44964342594693,20,0.03412766519242194,0.024556076308667237
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.25652777777778,34.23847222222223,2.73040108708972,137.2550541781186,20,0.04273617359089706,0.04273617359089706
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.15486111111112,41.47819444444445,193.73730946230248,199.25755675997638,20,0.0618705035971223,0.034532374100719423
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.06597222222223,28.79958333333333,135.4829216711616,265.4834729143553,30,0.002459268367660621,0.0018444512757454657
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.64847222222222,34.060972222222226,222.28053188499214,359.4456889159729,30,0.058385579937304075,0.05498955067920585
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.01708333333333,41.108472222222225,322.31855897154657,357.30588386082115,30,0.005813953488372093,0.005813953488372093
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.41097222222223,28.19763888888889,295.6563814087267,334.4657917024234,40,0.0007955449482895784,0.00026518164942985947
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.03736111111111,34.59041666666667,9.215462823409615,147.95308204860595,40,0.030286567975010188,0.030286567975010188
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.19458333333334,41.18652777777778,242.73162529030566,333.5309609813747,40,0.5528788655390398,0.002221083205193918
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.16625,28.587638888888886,179.32548889693848,308.05050059748316,50,0.42602495543672014,0.42602495543672014
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.46375,34.77597222222222,33.12108111528972,195.67943932545506,50,0.029904666332162568,0.027496236828901153
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.48375,41.70902777777778,92.52516759381267,134.17632137664484,50,0.04834960483496048,0.04834960483496048
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.74847222222223,28.48625,121.92310998806435,206.9344899041756,60,0.001234132581100141,0.001234132581100141
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.13625,34.76069444444445,178.38398124927696,267.8987310769121,60,0.03429602888086643,0.03414560770156438
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.49152777777778,41.28680555555556,100.32430275461526,125.46826421377978,60,0.03080808080808081,0.03080808080808081
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.62597222222223,28.507638888888888,317.3099169081492,356.14465548598565,70,0.0,0.0
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.56291666666667,34.30041666666667,226.0238732810988,311.4696072219996,70,0.005052724077328647,0.005052724077328647
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.70791666666668,41.26430555555556,113.24131643493479,182.30625321327335,70,0.008450228156160216,0.008450228156160216
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.03541666666668,28.56486111111111,142.76451713468322,252.32094623025543,80,0.00821287779237845,0.00821287779237845
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.38819444444445,34.422361111111115,320.87084228410305,351.950558482984,80,0.0,0.0
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.03402777777778,41.04986111111111,77.4671504928692,232.49969348166982,80,0.024395061728395062,0.02182716049382716
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.39041666666667,28.80986111111111,92.81589059049489,283.57943534272545,90,0.01171088746569076,0.01152790484903934
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.47875,34.332638888888894,357.69345482064546,358.0504751209256,90,0.0,0.0
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.07902777777778,41.22763888888889,240.66213458331796,358.8842412056775,90,0.027525757342764877,0.02275872674150392
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.58236111111111,28.23236111111111,274.5251813851543,277.80361619764795,100,0.2994011976047904,0.2694610778443114
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.77430555555556,34.163472222222225,160.9462425107302,170.71756307690185,100,0.0016611295681063123,0.0016611295681063123
